single,"An alpha particle flips a bit in a memory cell (written 1, reads back 0). A watchdog detects the wrong value and reboots the server. How are these three events correctly classified?","fault=bit flip, error=wrong read, failure=needless reboot","error=bit flip, fault=wrong read, failure=needless reboot","fault=bit flip, failure=wrong read, error=needless reboot","fault=needless reboot, error=bit flip, failure=wrong read",,,,,,1,vs-ch04
single,"A data center has 10,000 hard disks, each with MTTF = 500,000 hours, all failing independently. What is the expected time to the FIRST disk failure?",50 hours,500 hours,"5,000 hours","500,000 hours",,,,,,1,vs-ch04
single,A system has MTTF = 900 hours and MTTR = 100 hours. What is its steady-state availability?,90%,9%,99%,Cannot be computed without the failure rate lambda,,,,,,1,vs-ch04
single,Which standby category requires the redundant resource to be powered OFF and only activated (booted) when the primary fails?,Cold standby,Warm standby,Hot standby,Active/active,,,,,,1,vs-ch04
single,"A failure detector has two properties: completeness and accuracy. Which property guarantees that after some time, a CORRECT process is NEVER suspected by any other correct process?",Accuracy,Completeness,Reliability,Liveness,,,,,,1,vs-ch04
single,"In the naive load balancing approach, the frontend forwards client requests to a worker, and the worker replies DIRECTLY to the client. Why does this fail?",The client receives a reply from an unexpected IP address and discards the packet,The worker does not know the client's IP address,TCP connections cannot span three parties,The frontend cannot route the worker's reply,,,,,,1,vs-ch04
single,"For m >= n requests and n servers, if the load balancer checks d randomly selected servers and picks the least loaded one, how does maximum load compare to pure random (d=1) assignment?",Expected maximum load drops to O(log log n / log d) above optimal — already much better for d=2,Expected maximum load stays O(log n / log log n) — no improvement over pure random,Maximum load reaches the theoretical optimum m/n for any d >= 2,The improvement only matters when d >= log n,,,,,,1,vs-ch04
single,"A cache uses simple hashing: server = hash(key) % N. When a 5th server is added (N: 4 -> 5), approximately what fraction of existing cached entries must migrate to a different server?",Almost all of them — roughly 80%,Exactly 1/5 — only the new server's slice,Exactly 1/4 — one old server's worth,None — only new keys go to the new server,,,,,,1,vs-ch04
single,"In consistent hashing, when one new server is added to a ring that already has N servers, approximately what fraction of existing keys must migrate?",1/(N+1) — only the new server's arc,N/(N+1) — almost all keys,1/2 — half the keys,0 — consistent hashing never migrates keys,,,,,,1,vs-ch04
single,Which cache consistency approach requires the ORIGIN SERVER to take the initiative when content changes?,Server pushes invalidations or updates to all caches holding a copy,Cache sends a conditional GET (If-Modified-Since) on every request,Cache uses a fixed TTL and re-fetches after it expires,Client always bypasses the cache by adding Cache-Control: no-cache,,,,,,1,vs-ch04
