single,Which coupling dimension does message queuing loosen compared to pub/sub by storing messages persistently?,Spatial coupling,Identity coupling,Temporal coupling,Semantic coupling,,,,,,3,vs-ch09
single,"In a classic message queue, if multiple consumers subscribe to the same queue, a given message is delivered to:",All consumers simultaneously,Exactly one consumer (load balancing),A randomly chosen subset,No consumer until one explicitly polls,,,,,,2,vs-ch09
single,What is the purpose of a dead-letter queue?,Store messages waiting for an idle consumer,Hold messages that exceed the queue's size limit temporarily,"Receive messages that could not be delivered (too large, TTL expired, rejected)",Archive all successfully delivered messages for audit,,,,,,3,vs-ch09
single,AMQP 1.0 is best characterised as:,An API specification that all brokers must implement,A binary wire protocol standardising interoperability between MQ implementations,A JSON-based pub/sub messaging format,A cloud-only protocol used exclusively by Azure Service Bus,,,,,,2,vs-ch09
single,"In the at-most-once delivery strategy, the consumer writes its offset to the log BEFORE consuming the message. What is the consequence of a consumer crash between writing the offset and consuming?",The message is delivered twice,The message is delivered to a different consumer group,The message is lost (never consumed),The broker resends the message automatically,,,,,,3,vs-ch09
single,"In Kafka, what is a partition?",A separate Kafka cluster used for disaster recovery,"An ordered, immutable, append-only sequence of records within a topic",A consumer group member assigned to one topic,A metadata record describing a topic's replication factor,,,,,,2,vs-ch09
single,Kafka consumer groups allow which two extremes of a delivery spectrum?,At-most-once and at-least-once delivery,Synchronous and asynchronous consumption,Broadcast (every consumer its own group) and load balancing (all consumers one group),Push and pull consumption models,,,,,,3,vs-ch09
single,Why does Kafka use a pull-based consumer model rather than push?,Pull requires less network bandwidth because it uses UDP,Push would require the broker to track each consumer's processing speed; pull lets consumers request data at their own pace and enables natural batching,Pull allows messages to be delivered in strict global order across partitions,Push is not supported by the TCP stack on commodity hardware,,,,,,2,vs-ch09
single,A Kafka message is considered 'committed' when:,The producer receives an ACK from the partition leader,The consumer has acknowledged processing the message,The leader and all in-sync followers have written the message to their logs,The message has been retained for the full configured retention period,,,,,,3,vs-ch09
single,"In RabbitMQ clustering, ordinary (classic) queues sacrifice which CAP property?",Consistency,Availability,Partition tolerance,Durability,,,,,,2,vs-ch09
